,CAL,CNC,GR,HRD,HRM,PE,ZDEN,DTC,DTS
107,8.7583,0.567,37.2689,0.8411,13.2325,5.0425,2.351,123.5969,292.9296
108,8.7483,0.567,36.966,0.8411,13.2325,5.0425,2.351,123.3388,291.2932
109,8.7513,0.567,36.2739,0.8411,13.2325,5.0425,2.351,123.2093,289.6931
110,8.7573,0.567,35.7403,0.8411,13.2325,5.0425,2.351,123.2377,288.8859
111,8.7583,0.567,34.8126,0.8411,13.2325,5.0425,2.351,123.6115,289.0498
112,8.7564,0.567,32.3477,0.8411,13.2325,5.0425,2.351,124.6977,291.3307
113,8.7229,0.567,31.565,0.8411,13.2325,5.0425,2.351,126.4631,297.9936
114,8.7452,0.567,34.0768,0.8411,13.2325,5.0425,2.351,128.1317,308.84
115,8.7533,0.567,33.2698,0.8411,13.2325,5.0425,2.351,128.7242,319.1023
116,8.7564,0.567,33.2788,0.8411,13.2325,5.0425,2.351,128.5324,322.7542
117,8.7533,0.567,33.9499,0.8411,13.2325,5.0425,2.351,128.3416,321.5845
118,8.7543,0.567,35.159,0.8411,13.2325,5.0425,2.351,128.4432,320.4092
119,8.7523,0.567,35.9844,0.8411,13.2325,5.0425,2.351,128.6738,321.0248
120,8.7523,0.567,33.2433,0.8411,13.2325,5.0425,2.351,128.7257,322.4371
121,8.7351,0.567,33.565,0.8411,13.2325,5.0425,2.351,128.4676,322.7625
122,8.7564,0.567,36.0156,0.8411,13.2325,5.0425,2.351,128.0037,321.1927
123,8.7512,0.567,34.2983,0.8411,13.2325,5.0425,2.351,127.6311,318.3572
124,8.7542,0.567,32.279,0.8411,13.2325,5.0425,2.351,127.7428,316.0659
125,8.7583,0.567,34.6312,0.8411,13.2325,5.0425,2.351,128.4901,316.7253
126,8.7543,0.567,38.3365,0.8411,13.2325,5.0425,2.351,129.4255,321.2769
127,8.7573,0.567,38.6721,0.8411,13.2325,5.0425,2.351,130.0035,326.9964
128,8.7523,0.567,37.8636,0.8411,13.2325,5.0425,2.351,130.0461,330.5356
129,8.7524,0.567,37.395,0.8411,13.2325,5.0425,2.351,129.5928,330.8054
130,8.7534,0.567,38.3983,0.8411,13.2325,5.0425,2.351,128.8408,328.0522
131,8.7503,0.567,38.192,0.8411,13.2325,5.0425,2.351,128.1762,323.4721
132,8.7554,0.567,37.3133,0.8411,13.2325,5.0425,2.351,127.8283,319.4094
133,8.743,0.567,37.3987,0.8411,13.2325,5.0425,2.351,127.6335,317.2808
134,8.7381,0.567,36.5174,0.8411,13.2325,5.0425,2.351,127.3128,316.0934
135,8.7492,0.567,34.7581,0.8411,13.2325,5.0425,2.351,126.9301,314.1332
136,8.7543,0.567,33.3806,0.8411,13.2325,5.0425,2.351,127.0219,311.774
137,8.7523,0.567,34.4468,0.8411,13.2325,5.0425,2.351,128.1346,312.3018
138,8.7401,0.567,35.581,0.8411,13.2325,5.0425,2.351,129.9017,319.0837
139,8.7593,0.567,34.4621,0.8411,13.2325,5.0425,2.351,131.1303,329.8757
140,8.7583,0.567,34.6815,0.8411,13.2325,5.0425,2.351,131.2366,337.3704
141,8.7583,0.567,37.2384,0.8411,13.2325,5.0425,2.351,130.9198,338.0322
142,8.7411,0.567,38.5596,0.8411,13.2325,5.0425,2.351,130.6866,336.1115
143,8.7492,0.567,36.5538,0.8411,13.2325,5.0425,2.351,130.6827,334.6891
144,8.7583,0.567,36.2454,0.8411,13.2325,5.0425,2.351,130.6063,334.6647
145,8.7411,0.567,39.5747,0.8411,13.2325,5.0425,2.351,130.4956,334.2028
146,8.7583,0.567,39.991,0.8411,13.2325,5.0425,2.351,130.7154,333.5208
147,8.7481,0.567,35.1999,0.8411,13.2325,5.0425,2.351,131.2134,334.8488
148,8.7502,0.567,33.9038,0.8411,13.2325,5.0425,2.351,131.5605,337.8756
149,8.7513,0.567,36.4659,0.8411,13.2325,5.0425,2.351,131.4297,339.9896
150,8.7574,0.567,38.0069,0.8411,13.2325,5.0425,2.351,130.8121,339.2103
151,8.7471,0.567,32.6527,0.8411,13.2325,5.0425,2.351,130.02,335.469
152,8.7583,0.567,32.5474,0.8411,13.2325,5.0425,2.351,129.5263,330.6492
153,8.7583,0.567,36.8207,0.8411,13.2325,5.0425,2.351,129.7157,327.6295
154,8.7552,0.567,34.9451,0.8411,13.2325,5.0425,2.351,130.3983,328.7641
155,8.7462,0.567,35.3483,0.8411,13.2325,5.0425,2.351,131.0326,332.9179
156,8.7573,0.567,36.4563,0.8411,13.2325,5.0425,2.351,131.3115,336.7814
157,8.7442,0.567,35.6982,0.8411,13.2325,5.0425,2.351,131.2096,338.4805
158,8.7523,0.567,32.326,0.8411,13.2325,5.0425,2.351,130.8622,337.8702
159,8.7534,0.567,32.3985,0.8411,13.2325,5.0425,2.351,130.5005,335.7654
160,8.7506,0.567,35.3329,0.8411,13.2325,5.0425,2.351,130.2892,333.5652
161,8.7503,0.567,34.5012,0.8411,13.2325,5.0425,2.351,130.1552,332.2756
162,8.7533,0.567,31.2333,0.8411,13.2325,5.0425,2.351,130.132,331.4597
163,8.7533,0.567,31.4045,0.8411,13.2325,5.0425,2.351,130.2755,331.314
164,8.7352,0.567,30.7408,0.8411,13.2325,5.0425,2.351,130.6768,332.1797
165,8.7292,0.567,31.4976,0.8411,13.2325,5.0425,2.351,131.0376,334.6201
166,8.719,0.567,36.524,0.8411,13.2325,5.0425,2.351,131.1326,336.8144
167,8.7343,0.567,37.5454,0.8411,13.2325,5.0425,2.351,131.1147,337.3938
168,8.7282,0.567,36.2602,0.8411,13.2325,5.0425,2.351,131.149,337.2838
169,8.7273,0.567,33.245,0.8411,13.2325,5.0425,2.351,131.1638,337.4915
170,8.7142,0.567,33.6163,0.8411,13.2325,5.0425,2.351,130.9184,337.5886
171,8.7111,0.567,35.9456,0.8411,13.2325,5.0425,2.351,130.3429,336.1085
172,8.7343,0.567,36.528,0.8411,13.2325,5.0425,2.351,129.6884,332.6146
173,8.7252,0.567,35.5642,0.8411,13.2325,5.0425,2.351,129.3187,328.6278
174,8.7292,0.567,33.9873,0.8411,13.2325,5.0425,2.351,129.2793,326.3693
175,8.7282,0.567,33.8375,0.8411,13.2325,5.0425,2.351,129.5179,326.123
176,8.7334,0.567,34.6677,0.8411,13.2325,5.0425,2.351,130.0683,327.5642
177,8.7314,0.567,35.5006,0.8411,13.2325,5.0425,2.351,130.7775,330.903
178,8.7302,0.567,35.499,0.8411,13.2325,5.0425,2.351,131.4363,335.2134
179,8.7262,0.567,34.2991,0.8411,13.2325,5.0425,2.351,131.9842,339.2189
180,8.7343,0.567,32.5014,0.8411,13.2325,5.0425,2.351,132.3202,342.541
181,8.7262,0.567,32.4785,0.8411,13.2325,5.0425,2.351,132.2081,344.5867
182,8.7393,0.567,33.3649,0.8411,13.2325,5.0425,2.351,131.6033,343.9177
183,8.7354,0.567,36.2764,0.8411,13.2325,5.0425,2.351,130.9412,340.254
184,8.7284,0.567,34.4651,0.8411,13.2325,5.0425,2.351,130.6494,336.2374
185,8.7273,0.567,31.4033,0.8411,13.2325,5.0425,2.351,130.5167,334.4639
186,8.7312,0.567,33.2576,0.8411,13.2325,5.0425,2.351,130.1421,333.6655
187,8.7191,0.567,36.0127,0.8411,13.2325,5.0425,2.351,129.614,331.3917
188,8.7181,0.567,34.1393,0.8411,13.2325,5.0425,2.351,129.2413,328.1732
189,8.7292,0.567,32.1672,0.8411,13.2325,5.0425,2.351,129.065,325.9031
190,8.7283,0.567,31.6308,0.8411,13.2325,5.0425,2.351,128.8887,324.8294
191,8.719,0.567,27.4516,0.8411,13.2325,5.0425,2.351,128.365,323.761
192,8.724,0.567,28.1953,0.8411,13.2325,5.0425,2.351,127.2834,320.575
193,8.7383,0.567,32.0403,0.8411,13.2325,5.0425,2.351,126.0885,313.9663
194,8.7303,0.567,30.6119,0.8411,13.2325,5.0425,2.351,125.4784,306.6326
195,8.7303,0.567,28.7888,0.8411,13.2325,5.0425,2.351,125.5941,302.8685
196,8.7352,0.567,29.7859,0.8411,13.2325,5.0425,2.351,126.2524,303.5623
197,8.7353,0.567,30.0386,0.8411,13.2325,5.0425,2.351,127.0786,307.6004
198,8.7232,0.567,31.7762,0.8411,13.2325,5.0425,2.351,127.7135,312.6673
199,8.7162,0.567,31.5333,0.8411,13.2325,5.0425,2.351,128.0966,316.5616
200,8.7151,0.567,31.4028,0.8411,13.2325,5.0425,2.351,128.2849,318.9104
201,8.7312,0.567,32.0128,0.8411,13.2325,5.0425,2.351,128.4885,320.0604
202,8.7354,0.567,32.7136,0.8411,13.2325,5.0425,2.351,128.9078,321.2948
203,8.7314,0.567,31.8639,0.8411,13.2325,5.0425,2.351,129.5749,323.8406
204,8.7242,0.567,29.1812,0.8411,13.2325,5.0425,2.351,130.1919,327.902
205,8.7273,0.567,29.5961,0.8411,13.2325,5.0425,2.351,130.3427,331.6738
206,8.7171,0.567,30.3705,0.8411,13.2325,5.0425,2.351,129.9409,332.6091
207,8.7221,0.567,28.7767,0.8411,13.2325,5.0425,2.351,129.2018,330.1737
208,8.7352,0.567,30.301,0.8411,13.2325,5.0425,2.351,128.4908,325.6735
209,8.719,0.567,31.1865,0.8411,13.2325,5.0425,2.351,127.8838,321.3347
210,8.7302,0.567,30.8873,0.8411,13.2325,5.0425,2.351,127.4241,317.6228
211,8.7292,0.567,30.0276,0.8411,13.2325,5.0425,2.351,127.2351,314.8104
212,8.7405,0.567,31.4834,0.8411,13.2325,5.0425,2.351,127.1941,313.6495
213,8.7242,0.567,31.651,0.8411,13.2325,5.0425,2.351,126.9452,313.4011
214,8.7362,0.567,30.7216,0.8411,13.2325,5.0425,2.351,126.4601,311.8821
215,8.7322,0.567,30.5613,0.8411,13.2325,5.0425,2.351,126.0282,308.9084
216,8.7352,0.567,31.9822,0.8411,13.2325,5.0425,2.351,125.8095,306.2527
217,8.7433,0.567,31.3158,0.8411,13.2325,5.0425,2.351,125.5394,304.9123
218,8.7231,0.567,29.189,0.8411,13.2325,5.0425,2.351,125.0052,303.2579
219,8.7362,0.567,27.8105,0.8411,13.2325,5.0425,2.351,124.4832,299.9717
220,8.7403,0.567,31.1753,0.8411,13.2325,5.0425,2.351,124.2863,296.7546
221,8.7403,0.567,34.0049,0.8411,13.2325,5.0425,2.351,124.416,295.5292
222,8.7181,0.567,34.4124,0.8411,13.2325,5.0425,2.351,124.5855,296.3256
223,8.7565,0.567,33.692,0.8411,13.2325,5.0425,2.351,124.6003,297.3763
224,8.7301,0.567,31.9033,0.8411,13.2325,5.0425,2.351,124.4659,297.4719
225,8.7181,0.567,32.5605,0.8411,13.2325,5.0425,2.351,124.266,296.6471
226,8.7252,0.567,31.6458,0.8411,13.2325,5.0425,2.351,124.0992,295.4144
227,8.7109,0.567,32.3186,0.8411,13.2325,5.0425,2.351,124.2325,294.3758
228,8.7352,0.567,35.062,0.8411,13.2325,5.0425,2.351,124.8715,295.1782
229,8.723,0.567,35.8584,0.8411,13.2325,5.0425,2.351,125.8654,299.0938
230,8.7302,0.567,36.0873,0.8411,13.2325,5.0425,2.351,126.9199,305.1996
231,8.7302,0.567,36.1891,0.8411,13.2325,5.0425,2.351,127.7215,311.6866
232,8.7393,0.567,36.3992,0.8411,13.2325,5.0425,2.351,128.153,316.6129
233,8.7241,0.567,34.0844,0.8411,13.2325,5.0425,2.351,128.2375,319.2574
234,8.7443,0.567,32.896,0.8411,13.2325,5.0425,2.351,128.1476,319.7792
235,8.7313,0.567,34.7234,0.8411,13.2325,5.0425,2.351,128.1108,319.2283
236,8.7314,0.567,34.5756,0.8411,13.2325,5.0425,2.351,128.2497,318.9989
237,8.7393,0.567,33.2825,0.8411,13.2325,5.0425,2.351,128.5948,319.84
238,8.717,0.567,33.3889,0.8411,13.2325,5.0425,2.351,129.2167,321.9346
239,8.7222,0.567,33.1939,0.8411,13.2325,5.0425,2.351,130.0257,325.7198
240,8.7414,0.567,33.8408,0.8411,13.2325,5.0425,2.351,130.6517,330.6525
241,8.7352,0.567,34.9727,0.8411,13.2325,5.0425,2.351,130.7243,334.4752
242,8.7301,0.567,36.2983,0.8411,13.2325,5.0425,2.351,130.2498,334.9282
243,8.7361,0.567,36.3039,0.8411,13.2325,5.0425,2.351,129.4938,332.0519
244,8.7331,0.567,34.359,0.8411,13.2325,5.0425,2.351,128.7955,327.4515
245,8.7473,0.567,33.6038,0.8411,13.2325,5.0425,2.351,128.2413,323.1935
246,8.7573,0.567,31.2012,0.8411,13.2325,5.0425,2.351,127.695,319.8136
247,8.7523,0.567,29.2411,0.8411,13.2325,5.0425,2.351,127.2943,316.4755
248,8.7413,0.567,27.1168,0.8411,13.2325,5.0425,2.351,127.2564,314.0118
249,8.7484,0.567,25.6776,0.8411,13.2325,5.0425,2.351,127.4472,313.7729
250,8.7323,0.567,28.5803,0.8411,13.2325,5.0425,2.351,127.7883,314.9363
251,8.7303,0.567,30.7885,0.8411,13.2325,5.0425,2.351,128.2976,317.0153
252,8.7292,0.567,32.2814,0.8411,13.2325,5.0425,2.351,128.8914,320.1235
253,8.7292,0.567,30.9868,0.8411,13.2325,5.0425,2.351,129.1655,323.7556
254,8.7333,0.567,30.7776,0.8411,13.2325,5.0425,2.351,128.7685,325.4453
255,8.7333,0.567,30.5751,0.8411,13.2325,5.0425,2.351,128.0233,323.0353
256,8.7182,0.567,29.7576,0.8411,13.2325,5.0425,2.351,127.3683,318.49
257,8.7313,0.567,30.3939,0.8411,13.2325,5.0425,2.351,127.1375,314.4684
258,8.714,0.567,28.8291,0.8411,13.2325,5.0425,2.351,127.4141,313.0413
259,8.7181,0.567,29.8036,0.8411,13.2325,5.0425,2.351,127.6545,314.738
260,8.7424,0.567,30.4856,0.8411,13.2325,5.0425,2.351,127.4315,316.2194
261,8.7292,0.567,28.4171,0.8411,13.2325,5.0425,2.351,126.9458,314.8611
262,8.7292,0.567,26.46,0.8411,13.2325,5.0425,2.351,127.0518,311.869
263,8.7292,0.567,28.3557,0.8411,13.2325,5.0425,2.351,128.4532,312.4756
264,8.7292,0.567,32.4428,0.8411,13.2325,5.0425,2.351,130.7415,320.9892
265,8.7333,0.567,33.1829,0.8411,13.2325,5.0425,2.351,132.6934,334.9089
266,8.7181,0.567,31.9795,0.8411,13.2325,5.0425,2.351,133.4124,346.7977
267,8.7322,0.567,32.8609,0.8411,13.2325,5.0425,2.351,132.8145,351.1862
268,8.7242,0.567,37.1135,0.8411,13.2325,5.0425,2.351,132.1528,347.5739
269,8.7294,0.567,38.7742,0.8411,13.2325,5.0425,2.351,132.6244,343.5522
270,8.7283,0.567,37.703,0.8411,13.2325,5.0425,2.351,134.0693,346.3701
271,8.7284,0.567,38.0953,0.8411,13.2325,5.0425,2.351,135.3162,355.0873
272,8.7254,0.567,36.3682,0.8411,13.2325,5.0425,2.351,135.3149,362.6219
273,8.7302,0.567,36.7319,0.8411,13.2325,5.0425,2.351,134.1735,362.6452
274,8.7343,0.567,36.6711,0.8411,13.2325,5.0425,2.351,132.9886,355.79
275,8.7333,0.567,35.3904,0.8411,13.2325,5.0425,2.351,132.5085,348.6284
276,8.7334,0.567,35.8043,0.8411,13.2325,5.0425,2.351,133.0909,345.705
277,8.7263,0.567,34.7369,0.8411,13.2325,5.0425,2.351,134.6256,349.1902
278,8.7333,0.567,32.4352,0.8411,13.2325,5.0425,2.351,136.3222,358.415
279,8.7292,0.567,31.964,0.8411,13.2325,5.0425,2.351,136.9052,368.641
280,8.7333,0.567,32.855,0.8411,13.2325,5.0425,2.351,135.907,372.1757
281,8.7313,0.567,33.7362,0.8411,13.2325,5.0425,2.351,133.5766,366.2183
282,8.7373,0.567,35.1138,0.8411,13.2325,5.0425,2.351,131.1039,352.2081
283,8.7294,0.567,38.1557,0.8411,13.2325,5.0425,2.351,129.9995,337.2272
284,8.7355,0.567,38.0725,0.8411,13.2325,5.0425,2.351,130.4793,330.4909
285,8.7292,0.567,36.2845,0.8411,13.2325,5.0425,2.351,131.7307,333.391
286,8.7283,0.567,35.51,0.8411,13.2325,5.0425,2.351,133.2257,340.9708
287,8.7323,0.567,35.51,0.8411,13.2325,5.0425,2.351,134.4701,350.0075
288,8.7373,0.567,33.3643,0.8411,13.2325,5.0425,2.351,135.5533,357.5145
289,8.7292,0.567,32.4029,0.8411,13.2325,5.0425,2.351,136.7433,364.0208
290,8.7292,0.567,32.6414,0.8411,13.2325,5.0425,2.351,137.7189,371.1589
291,8.7302,0.567,31.9501,0.8411,13.2325,5.0425,2.351,138.1559,376.9997
292,8.7322,0.567,30.0406,0.8411,13.2325,5.0425,2.351,137.659,379.6381
293,8.72,0.567,29.6544,0.8411,13.2325,5.0425,2.351,136.2105,376.6918
294,8.7181,0.567,29.664,0.8411,13.2325,5.0425,2.351,134.4203,368.0187
295,8.7323,0.567,27.9411,0.8411,13.2325,5.0425,2.351,132.7434,357.263
296,8.7302,0.567,27.1862,0.8411,13.2325,5.0425,2.351,130.4158,347.1742
297,8.7341,0.567,24.0596,0.8411,13.2325,5.0425,2.351,126.9418,333.0726
298,8.7311,0.567,24.1469,0.8411,13.2325,5.0425,2.351,123.4607,311.8901
299,8.7363,0.567,25.3803,0.8411,13.2325,5.0425,2.351,120.2057,290.4989
300,8.7292,0.567,22.7079,0.8411,13.2325,5.0425,2.351,116.9912,270.2859
301,8.7323,0.567,21.652,0.8411,13.2325,5.0425,2.351,114.2488,250.1133
302,8.7161,0.567,22.5521,0.8411,13.2325,5.0425,2.351,112.4858,232.7476
303,8.7151,0.567,21.9678,0.8411,13.2325,5.0425,2.351,112.2597,221.4704
304,8.7333,0.567,22.8078,0.8411,13.2325,5.0425,2.351,113.6523,219.9592
305,8.7322,0.567,26.8291,0.8411,13.2325,5.0425,2.351,116.0247,228.7972
306,8.72,0.567,29.2581,0.8411,13.2325,5.0425,2.351,118.6062,243.8356
307,8.724,0.567,29.8735,0.8411,13.2325,5.0425,2.351,120.7501,260.1019
308,8.719,0.567,32.1084,0.8411,13.2325,5.0425,2.351,122.0328,273.5533
309,8.7343,0.567,34.0632,0.8411,13.2325,5.0425,2.351,122.6218,281.5712
310,8.7231,0.567,35.129,0.8411,13.2325,5.0425,2.351,122.8542,285.2431
311,8.7343,0.567,36.543,0.8411,13.2325,5.0425,2.351,123.1556,286.6793
