initial_list_status,purpose,int_rate,installment,annual_inc,dti,verification_status,grade,revol_bal,inq_last_12m,delinq_2yrs,home_ownership,log_inc,verified,grdCtoA,not_paid
w,debt_consolidation,14.08,559.44,68000.0,16.57,Source Verified,C,1102,2,0,MORTGAGE,11.127262984158198,1,0,1
w,debt_consolidation,15.05,714.49,1200000.0,3.9,Verified,C,8463,1,0,RENT,13.997832114758198,1,0,0
w,debt_consolidation,16.02,175.84,50400.0,11.38,Verified,C,5086,2,0,MORTGAGE,10.8277464540595,1,0,0
w,credit_card,9.44,314.59,126000.0,4.1,Not Verified,B,4932,5,0,MORTGAGE,11.7440371859336,0,1,0
f,credit_card,10.91,490.45,70000.0,22.17,Source Verified,B,6671,5,0,MORTGAGE,11.156250521031499,1,1,0
w,debt_consolidation,19.03,788.45,65000.0,34.19,Verified,D,6150,0,0,RENT,11.082142548877801,1,0,0
w,credit_card,7.97,532.49,80100.0,19.0,Not Verified,A,11485,0,0,MORTGAGE,11.2910311330565,0,1,1
w,credit_card,12.62,417.35,87000.0,24.92,Source Verified,C,33666,1,0,MORTGAGE,11.3736633976367,1,0,1
w,debt_consolidation,14.08,815.85,322192.0,15.9,Source Verified,C,2682,2,0,RENT,12.682902920118199,1,0,0
w,debt_consolidation,11.99,232.47,42000.0,21.6,Verified,B,10100,2,0,RENT,10.6454248972655,1,1,1
w,debt_consolidation,21.45,545.86,45000.0,9.65,Source Verified,D,14470,1,1,RENT,10.714417768752499,1,0,0
w,debt_consolidation,7.35,218.82,75000.0,11.18,Not Verified,A,3720,8,0,OWN,11.2252433925184,0,1,0
w,home_improvement,10.42,324.65,80000.0,24.89,Source Verified,B,7907,0,1,RENT,11.289781913656,1,1,1
f,debt_consolidation,17.09,285.59,50000.0,22.13,Verified,D,15276,3,0,RENT,10.819778284410301,1,0,0
w,debt_consolidation,13.59,815.5,82000.0,18.34,Source Verified,C,15757,17,0,OWN,11.3144745262464,1,0,0
w,home_improvement,20.0,635.86,140000.0,19.06,Verified,D,4289,0,0,RENT,11.849397701591402,1,0,0
w,home_improvement,15.05,693.8,85000.0,21.88,Verified,C,19114,1,4,MORTGAGE,11.3504065354725,1,0,1
w,debt_consolidation,30.17,1136.03,98000.0,30.79,Verified,F,11522,2,0,RENT,11.4927227576527,1,0,1
w,debt_consolidation,11.99,778.38,130000.0,19.1,Source Verified,B,36666,1,0,MORTGAGE,11.775289729437699,1,1,0
w,credit_card,17.09,498.02,150000.0,15.28,Not Verified,D,15438,1,3,RENT,11.918390573078401,0,0,1
f,credit_card,11.99,664.2,192000.0,26.53,Not Verified,B,31241,0,2,MORTGAGE,12.1652506510099,0,1,1
f,debt_consolidation,19.03,344.71,40000.0,13.65,Source Verified,D,5417,1,0,RENT,10.5966347330961,1,0,0
w,credit_card,7.07,185.46,36000.0,33.92,Not Verified,A,24096,7,0,MORTGAGE,10.4912742174382,0,1,0
w,debt_consolidation,17.09,356.98,50000.0,9.84,Not Verified,D,2046,0,0,RENT,10.819778284410301,0,0,1
w,debt_consolidation,18.06,253.28,30000.0,25.24,Verified,D,7870,1,0,RENT,10.308952660644302,1,0,1
f,debt_consolidation,16.02,351.67,55000.0,18.02,Verified,C,12516,1,0,RENT,10.9150884642146,1,0,1
w,debt_consolidation,21.45,682.68,25000.0,45.18,Not Verified,D,16662,4,0,MORTGAGE,10.1266311038503,0,0,0
f,credit_card,18.06,173.68,32240.0,11.59,Not Verified,D,6000,3,0,RENT,10.380963196620598,0,0,0
w,debt_consolidation,9.44,1280.2,200000.0,8.33,Verified,B,52686,0,0,MORTGAGE,12.2060726455302,1,1,0
w,debt_consolidation,9.93,257.88,85000.0,28.35,Not Verified,B,30010,0,0,MORTGAGE,11.3504065354725,0,1,0
w,home_improvement,7.21,929.2,175000.0,25.37,Source Verified,A,16885,5,0,MORTGAGE,12.072541252905701,1,1,0
w,debt_consolidation,15.05,476.33,50006.0,37.45,Not Verified,C,63723,2,2,MORTGAGE,10.819898277210902,0,0,1
f,major_purchase,14.08,1183.9,138800.0,21.05,Source Verified,C,1731,3,0,RENT,11.8407893270548,1,0,1
w,debt_consolidation,21.45,955.75,112000.0,6.54,Source Verified,D,16749,1,0,MORTGAGE,11.6262541502772,1,0,1
w,debt_consolidation,17.09,747.03,85000.0,27.64,Verified,D,21117,1,0,MORTGAGE,11.3504065354725,1,0,1
w,credit_card,7.35,155.19,28000.0,8.79,Not Verified,A,10191,3,0,OWN,10.239959789157302,0,1,0
w,debt_consolidation,10.91,490.45,50000.0,14.26,Not Verified,B,4967,0,0,RENT,10.819778284410301,0,1,1
f,debt_consolidation,7.21,309.74,75000.0,21.47,Not Verified,A,14752,1,0,MORTGAGE,11.2252433925184,0,1,0
w,credit_card,14.08,261.07,30940.0,21.84,Not Verified,C,13175,1,0,RENT,10.3398051241271,0,0,1
w,debt_consolidation,11.99,489.27,80000.0,14.94,Source Verified,B,2456,1,1,MORTGAGE,11.289781913656,1,1,0
f,debt_consolidation,28.72,646.14,43000.0,19.51,Verified,F,10915,4,0,RENT,10.668955394675699,1,0,0
w,debt_consolidation,10.91,644.12,115000.0,17.18,Source Verified,B,49522,0,0,RENT,11.6526874073454,1,1,0
w,debt_consolidation,20.0,668.95,110000.0,23.82,Not Verified,D,19224,7,0,MORTGAGE,11.608235644774599,0,0,0
w,debt_consolidation,10.91,392.36,41000.0,16.6,Source Verified,B,6197,3,0,RENT,10.6213273456864,1,1,1
w,credit_card,16.02,608.22,52000.0,19.46,Source Verified,C,16929,1,0,RENT,10.858998997563601,1,0,0
f,home_improvement,9.44,176.03,78300.0,11.05,Source Verified,B,12217,1,0,MORTGAGE,11.2683028819789,1,1,0
w,debt_consolidation,21.45,379.07,37000.0,26.31,Source Verified,D,11715,4,0,RENT,10.518673191626402,1,0,0
w,debt_consolidation,9.44,160.03,45000.0,16.05,Not Verified,B,13299,3,0,MORTGAGE,10.714417768752499,0,1,1
w,debt_consolidation,20.0,371.64,65000.0,32.15,Not Verified,D,14006,6,0,MORTGAGE,11.082142548877801,0,0,0
w,credit_card,15.05,381.06,215000.0,12.42,Source Verified,C,14766,3,2,MORTGAGE,12.278393307109802,1,0,1
f,home_improvement,15.05,270.59,113000.0,17.35,Not Verified,C,6840,6,0,MORTGAGE,11.635143097694499,0,0,0
f,credit_card,23.88,783.4,45790.0,12.84,Verified,E,12567,4,1,OWN,10.7318210056511,1,0,0
f,debt_consolidation,24.85,595.21,55000.0,24.29,Not Verified,E,19536,1,0,OWN,10.9150884642146,0,0,1
w,debt_consolidation,17.09,171.35,61000.0,20.13,Source Verified,D,4658,0,0,RENT,11.018629143155401,1,0,1
w,credit_card,7.07,340.01,74000.0,22.28,Verified,A,7437,0,0,OWN,11.2118203721863,1,1,0
w,debt_consolidation,17.09,142.8,61000.0,4.88,Not Verified,D,5230,1,0,RENT,11.018629143155401,0,0,1
w,major_purchase,12.62,451.19,92300.0,19.47,Source Verified,C,2757,8,1,MORTGAGE,11.432799420490902,1,0,1
w,debt_consolidation,13.59,461.13,80000.0,14.43,Source Verified,C,7993,1,0,MORTGAGE,11.289781913656,1,0,1
w,home_improvement,9.93,318.19,56000.0,10.95,Source Verified,B,15327,1,0,MORTGAGE,10.9331069697173,1,1,0
w,credit_card,9.93,424.26,65000.0,15.92,Not Verified,B,19289,0,0,RENT,11.082142548877801,0,1,1
w,debt_consolidation,16.02,211.01,17000.0,19.21,Verified,C,3743,1,0,RENT,9.740968623038349,1,0,1
f,debt_consolidation,13.59,679.58,76902.0,13.06,Not Verified,C,5439,7,1,RENT,11.2502871629579,0,0,0
w,debt_consolidation,20.0,494.28,34000.0,12.71,Source Verified,D,4578,1,0,RENT,10.434115803598301,1,0,1
w,debt_consolidation,24.85,731.59,138600.0,24.65,Not Verified,E,7394,1,0,MORTGAGE,11.8393473657379,0,0,0
w,debt_consolidation,12.62,225.37,88648.0,16.91,Source Verified,C,11722,2,0,MORTGAGE,11.3924287506162,1,0,0
w,major_purchase,26.3,903.55,61000.0,3.66,Verified,E,1788,1,0,RENT,11.018629143155401,1,0,1
f,debt_consolidation,16.02,633.01,40000.0,18.69,Not Verified,C,10222,1,1,MORTGAGE,10.5966347330961,0,0,1
w,home_improvement,11.99,544.87,95000.0,21.7,Not Verified,B,3678,11,0,MORTGAGE,11.4616321705827,0,1,1
w,debt_consolidation,13.59,1359.16,85000.0,14.99,Verified,C,13850,0,0,MORTGAGE,11.3504065354725,1,0,1
w,debt_consolidation,7.97,313.23,66000.0,13.16,Not Verified,A,9576,2,1,MORTGAGE,11.0974100210086,0,1,1
w,small_business,16.02,851.51,101000.0,0.14,Source Verified,C,12,2,0,OWN,11.5228757958234,1,0,0
w,credit_card,14.08,513.25,40000.0,9.6,Source Verified,C,11700,0,0,RENT,10.5966347330961,1,0,1
w,credit_card,17.09,249.89,56000.0,9.62,Verified,D,8722,0,0,MORTGAGE,10.9331069697173,1,0,1
w,home_improvement,9.44,640.1,54000.0,15.18,Source Verified,B,2501,5,1,OWN,10.8967393255464,1,1,1
w,small_business,7.35,993.2,200000.0,11.04,Not Verified,A,7002,1,0,RENT,12.2060726455302,0,1,1
w,credit_card,21.45,546.15,70000.0,11.71,Source Verified,D,37992,1,0,RENT,11.156250521031499,1,0,1
w,debt_consolidation,10.91,312.25,68119.0,26.69,Not Verified,B,7428,1,0,MORTGAGE,11.1290114546924,0,1,0
w,home_improvement,13.59,407.75,100000.0,11.15,Source Verified,C,12252,3,1,MORTGAGE,11.5129254649702,1,0,0
w,credit_card,11.99,265.68,40000.0,13.86,Source Verified,B,5102,0,0,RENT,10.5966347330961,1,1,0
w,debt_consolidation,7.97,469.84,89000.0,11.26,Source Verified,A,14177,11,0,MORTGAGE,11.396391648714301,1,1,1
w,credit_card,12.62,812.13,90000.0,23.05,Source Verified,C,29681,7,0,RENT,11.4075649493124,1,0,0
w,debt_consolidation,20.0,847.81,80000.0,16.61,Verified,D,9536,3,1,MORTGAGE,11.289781913656,1,0,1
w,debt_consolidation,9.44,1184.19,122000.0,21.33,Verified,B,27446,0,0,RENT,11.711776323715402,1,1,1
w,debt_consolidation,17.09,171.35,80000.0,10.35,Source Verified,D,2156,2,0,MORTGAGE,11.289781913656,1,0,1
w,debt_consolidation,9.93,257.88,63000.0,13.2,Source Verified,B,21536,2,1,MORTGAGE,11.0508900053737,1,1,1
f,debt_consolidation,14.08,171.09,70000.0,8.26,Not Verified,C,1518,1,2,RENT,11.156250521031499,0,0,0
w,debt_consolidation,30.94,1503.89,10000.0,71.19,Not Verified,G,4590,2,0,RENT,9.21034037197618,0,0,1
w,home_improvement,10.42,962.58,115000.0,24.56,Verified,B,9780,0,0,MORTGAGE,11.6526874073454,1,1,1
w,debt_consolidation,17.09,535.47,35000.0,30.45,Source Verified,D,11062,0,1,MORTGAGE,10.4631033404715,1,0,0
w,debt_consolidation,9.93,212.13,84000.0,6.99,Not Verified,B,5996,0,0,OWN,11.338572077825502,0,1,0
w,home_improvement,15.05,710.28,46589.0,16.62,Verified,C,9056,3,0,MORTGAGE,10.749119740747002,1,0,1
f,debt_consolidation,22.91,367.3,51000.0,14.87,Verified,E,7593,0,0,MORTGAGE,10.8395809117065,1,0,0
w,debt_consolidation,12.62,248.15,60000.0,12.36,Source Verified,C,8487,5,0,MORTGAGE,11.002099841204199,1,0,1
w,credit_card,9.93,128.94,95000.0,12.24,Source Verified,B,6228,0,1,MORTGAGE,11.4616321705827,1,1,1
w,debt_consolidation,11.99,464.94,80000.0,7.23,Source Verified,B,1617,7,0,RENT,11.289781913656,1,1,1
f,debt_consolidation,23.88,188.02,94000.0,22.18,Not Verified,E,13052,2,0,RENT,11.4510500612521,0,0,1
w,debt_consolidation,15.05,936.63,95000.0,18.14,Verified,C,26690,1,2,MORTGAGE,11.4616321705827,1,0,1
w,home_improvement,11.99,332.1,68000.0,25.06,Verified,B,34256,6,0,MORTGAGE,11.127262984158198,1,1,0
w,home_improvement,9.44,192.03,45000.0,3.65,Not Verified,B,3044,1,1,RENT,10.714417768752499,0,1,0
f,debt_consolidation,18.06,361.83,35000.0,17.52,Verified,D,8817,4,0,RENT,10.4631033404715,1,0,1
w,debt_consolidation,9.44,896.14,120000.0,25.35,Not Verified,B,22527,0,0,MORTGAGE,11.6952470217642,0,1,0
w,debt_consolidation,15.05,571.59,140000.0,10.58,Source Verified,C,6602,0,0,RENT,11.849397701591402,1,0,1
w,debt_consolidation,9.44,435.27,90000.0,24.41,Source Verified,B,10046,6,0,MORTGAGE,11.4075649493124,1,1,0
f,debt_consolidation,13.59,135.92,30000.0,23.24,Source Verified,C,11341,3,0,OWN,10.308952660644302,1,0,1
w,debt_consolidation,9.93,232.09,82000.0,18.44,Not Verified,B,11256,2,0,MORTGAGE,11.3144745262464,0,1,0
f,credit_card,22.91,773.26,105000.0,24.9,Source Verified,E,35578,3,0,MORTGAGE,11.5617156291397,1,0,1
w,debt_consolidation,13.59,220.87,51000.0,36.35,Not Verified,C,17696,6,0,MORTGAGE,10.8395809117065,0,0,1
w,debt_consolidation,9.44,115.22,70000.0,27.33,Verified,B,16710,0,1,MORTGAGE,11.156250521031499,1,1,1
f,credit_card,12.62,375.33,68000.0,38.83,Not Verified,C,17628,0,0,MORTGAGE,11.127262984158198,0,0,1
w,home_improvement,14.08,328.48,55000.0,25.89,Not Verified,C,22052,0,0,RENT,10.9150884642146,0,0,0
f,debt_consolidation,15.05,795.27,71000.0,10.95,Not Verified,C,7414,1,3,MORTGAGE,11.1704351560235,0,0,0
w,home_improvement,9.93,128.94,70000.0,23.66,Verified,B,8746,3,0,MORTGAGE,11.156250521031499,1,1,0
f,home_improvement,10.91,326.97,38000.0,6.66,Source Verified,B,12100,0,0,OWN,10.5453414387085,1,1,1
w,debt_consolidation,16.02,729.87,42000.0,29.69,Verified,C,18570,0,1,MORTGAGE,10.6454248972655,1,0,0
f,debt_consolidation,6.72,153.75,40000.0,21.9,Not Verified,A,3500,0,0,MORTGAGE,10.5966347330961,0,1,0
w,debt_consolidation,7.35,186.23,120000.0,11.2,Source Verified,A,1039,0,0,MORTGAGE,11.6952470217642,1,1,0
w,debt_consolidation,11.99,159.41,10776.0,23.83,Verified,B,6377,0,0,MORTGAGE,9.285076718090199,1,1,0
w,debt_consolidation,19.03,36.68,32000.0,30.8,Verified,D,0,2,0,RENT,10.3734911817819,1,0,0
w,home_improvement,17.09,713.96,150000.0,14.26,Source Verified,D,27024,8,0,MORTGAGE,11.918390573078401,1,0,1
w,major_purchase,18.06,813.64,110000.0,6.39,Source Verified,D,1198,1,1,OWN,11.608235644774599,1,0,1
f,debt_consolidation,11.99,398.52,40000.0,10.5,Source Verified,B,3085,1,0,RENT,10.5966347330961,1,1,1
f,debt_consolidation,21.45,947.67,90000.0,17.69,Not Verified,D,33314,3,0,MORTGAGE,11.4075649493124,0,0,0
w,home_improvement,11.99,265.68,90000.0,8.01,Not Verified,B,5706,2,0,OWN,11.4075649493124,0,1,0
w,home_improvement,19.03,132.02,56000.0,12.1,Verified,D,2291,6,0,MORTGAGE,10.9331069697173,1,0,0
w,debt_consolidation,7.35,248.3,38000.0,30.13,Source Verified,A,2008,1,0,RENT,10.5453414387085,1,1,0
w,debt_consolidation,15.05,520.35,55000.0,14.38,Source Verified,C,9892,0,2,MORTGAGE,10.9150884642146,1,0,0
w,debt_consolidation,9.93,657.6,250000.0,8.17,Source Verified,B,21509,1,0,MORTGAGE,12.4292161968444,1,1,1
w,home_improvement,16.02,437.92,85000.0,4.14,Source Verified,C,0,5,0,MORTGAGE,11.3504065354725,1,0,0
w,home_improvement,10.91,326.97,28000.0,32.22,Not Verified,B,22065,1,0,OWN,10.239959789157302,0,1,1
w,debt_consolidation,21.45,591.2,65000.0,18.54,Not Verified,D,16536,3,0,MORTGAGE,11.082142548877801,0,0,0
w,debt_consolidation,13.59,271.84,70000.0,16.05,Not Verified,C,11817,3,0,RENT,11.156250521031499,0,0,0
f,credit_card,13.59,849.48,155000.0,33.48,Source Verified,C,82929,1,0,OWN,11.951180395901401,1,0,1
w,credit_card,7.35,279.34,40000.0,30.81,Not Verified,A,1735,0,0,MORTGAGE,10.5966347330961,0,1,0
w,debt_consolidation,13.59,254.85,300000.0,14.17,Verified,C,70894,3,0,MORTGAGE,12.6115377536383,1,0,0
w,home_improvement,9.44,160.03,125000.0,10.96,Not Verified,B,12106,6,0,MORTGAGE,11.736069016284402,0,1,1
w,credit_card,28.72,1105.01,125000.0,17.77,Verified,F,32980,3,0,MORTGAGE,11.736069016284402,1,0,0
f,debt_consolidation,16.02,168.81,34500.0,10.47,Not Verified,C,7786,2,0,RENT,10.4487146030195,0,0,0
f,credit_card,15.05,346.9,38000.0,21.76,Source Verified,C,7308,0,0,OWN,10.5453414387085,1,0,0
w,debt_consolidation,23.88,587.55,12000.0,69.9,Source Verified,E,7154,1,0,RENT,9.39266192877014,1,0,1
f,credit_card,26.3,331.31,32000.0,29.71,Not Verified,E,8840,12,0,RENT,10.3734911817819,0,0,1
w,debt_consolidation,12.62,670.23,160000.0,4.74,Verified,C,5221,4,2,RENT,11.982929094216,1,0,1
w,debt_consolidation,13.59,271.84,50000.0,11.23,Not Verified,C,6381,0,0,RENT,10.819778284410301,0,0,0
w,major_purchase,10.42,493.45,230000.0,1.77,Not Verified,B,1456,1,0,MORTGAGE,12.3458345879053,0,1,0
w,small_business,15.05,624.42,45000.0,17.63,Verified,C,2027,5,0,RENT,10.714417768752499,1,0,1
f,debt_consolidation,23.88,336.87,55000.0,8.42,Verified,E,4096,1,1,RENT,10.9150884642146,1,0,1
f,debt_consolidation,23.88,141.02,50000.0,4.63,Not Verified,E,3514,1,0,OWN,10.819778284410301,0,0,1
w,debt_consolidation,20.0,397.41,125000.0,16.78,Verified,D,48385,2,0,MORTGAGE,11.736069016284402,1,0,0
f,debt_consolidation,30.84,1501.96,160000.0,13.99,Source Verified,G,19317,8,1,MORTGAGE,11.982929094216,1,0,1
w,debt_consolidation,10.91,850.1,150000.0,9.44,Source Verified,B,15645,4,0,MORTGAGE,11.918390573078401,1,1,0
w,debt_consolidation,20.0,278.73,70000.0,5.71,Not Verified,D,11021,0,0,RENT,11.156250521031499,0,0,0
w,debt_consolidation,15.05,1040.7,140000.0,14.47,Not Verified,C,11143,3,6,OWN,11.849397701591402,0,0,1
f,home_improvement,20.0,297.31,65000.0,24.35,Verified,D,327,17,0,MORTGAGE,11.082142548877801,1,0,1
w,debt_consolidation,17.09,323.72,74166.53,14.08,Source Verified,D,30497,0,0,OWN,11.214068249222,1,0,0
w,home_improvement,7.07,140.64,49185.0,1.22,Verified,A,1258,0,0,MORTGAGE,10.803343977946902,1,1,1
w,debt_consolidation,11.99,244.64,100000.0,5.78,Not Verified,B,7919,4,0,MORTGAGE,11.5129254649702,0,1,0
w,home_improvement,11.99,889.58,110000.0,6.21,Not Verified,B,0,1,0,RENT,11.608235644774599,0,1,1
w,debt_consolidation,12.62,603.21,60000.0,19.4,Source Verified,C,5290,0,4,MORTGAGE,11.002099841204199,1,0,0
w,debt_consolidation,15.05,476.33,72000.0,7.05,Not Verified,C,3309,4,0,MORTGAGE,11.1844213979982,0,0,1
w,debt_consolidation,11.99,266.88,92560.0,7.1,Source Verified,B,850,1,0,MORTGAGE,11.4356123618676,1,1,0
w,debt_consolidation,18.06,180.92,90000.0,7.58,Not Verified,D,3720,3,2,OWN,11.4075649493124,0,0,1
w,debt_consolidation,11.99,385.24,72800.0,30.38,Verified,B,9094,5,0,MORTGAGE,11.1954712341848,1,1,0
w,debt_consolidation,14.08,109.5,56000.0,13.67,Source Verified,C,21424,2,1,MORTGAGE,10.9331069697173,1,0,0
w,home_improvement,9.93,41.91,57000.0,25.75,Source Verified,B,578,3,0,MORTGAGE,10.950806546816699,1,1,0
w,debt_consolidation,10.91,490.45,45000.0,8.95,Not Verified,B,7113,0,2,RENT,10.714417768752499,0,1,1
w,debt_consolidation,18.06,762.79,85000.0,8.44,Verified,D,10858,1,0,MORTGAGE,11.3504065354725,1,0,1
w,debt_consolidation,7.35,181.57,64000.0,10.68,Not Verified,A,12311,5,0,MORTGAGE,11.0666383623418,0,1,0
f,major_purchase,10.91,1307.85,83000.0,7.15,Verified,B,11054,0,1,RENT,11.3265958867787,1,1,0
w,credit_card,9.93,64.47,43000.0,3.03,Source Verified,B,1762,1,0,MORTGAGE,10.668955394675699,1,1,1
w,debt_consolidation,9.44,320.05,90000.0,9.21,Source Verified,B,14174,1,0,OWN,11.4075649493124,1,1,1
w,credit_card,7.35,173.04,68000.0,9.8,Verified,A,5001,1,0,RENT,11.127262984158198,1,1,0
w,debt_consolidation,13.59,849.48,240000.0,20.76,Source Verified,C,30715,7,0,MORTGAGE,12.388394202324099,1,0,0
w,debt_consolidation,21.45,546.15,48294.0,19.04,Verified,D,14949,0,0,OWN,10.7850626083218,1,0,1
w,major_purchase,9.93,848.51,136000.0,4.95,Source Verified,B,730,5,0,RENT,11.820410164718199,1,1,0
w,credit_card,9.93,96.71,45000.0,2.0,Not Verified,B,2102,1,1,MORTGAGE,10.714417768752499,0,1,0
w,debt_consolidation,12.62,496.3,90000.0,16.35,Verified,C,11457,2,0,RENT,11.4075649493124,1,0,0
w,small_business,10.42,1298.59,120000.0,6.46,Source Verified,B,10856,5,0,RENT,11.6952470217642,1,1,1
w,debt_consolidation,7.35,798.67,132000.0,14.64,Source Verified,A,22679,9,0,MORTGAGE,11.7905572015685,1,1,0
f,credit_card,18.06,108.55,75000.0,18.2,Source Verified,D,12098,3,1,MORTGAGE,11.2252433925184,1,0,1
w,credit_card,9.44,144.03,47235.72,20.96,Source Verified,B,18941,0,0,OWN,10.7629056650213,1,1,0
w,debt_consolidation,12.62,360.95,80000.0,10.83,Not Verified,C,12843,2,0,MORTGAGE,11.289781913656,0,0,0
w,debt_consolidation,12.62,234.58,32000.0,32.97,Source Verified,C,16810,0,0,RENT,10.3734911817819,1,0,1
f,home_improvement,30.89,1502.92,90420.0,23.1,Verified,G,39024,8,0,MORTGAGE,11.412220760848598,1,0,1
w,small_business,6.72,184.5,80000.0,9.78,Not Verified,A,13359,3,0,MORTGAGE,11.289781913656,0,1,1
w,debt_consolidation,30.17,373.27,62000.0,26.64,Verified,F,13585,1,0,MORTGAGE,11.0348896640272,1,0,0
f,debt_consolidation,17.09,622.03,60000.0,34.26,Verified,D,9637,3,0,MORTGAGE,11.002099841204199,1,0,0
w,debt_consolidation,9.93,424.26,85000.0,8.6,Source Verified,B,9630,0,0,MORTGAGE,11.3504065354725,1,1,1
w,debt_consolidation,14.08,513.25,60000.0,24.88,Source Verified,C,17105,1,1,RENT,11.002099841204199,1,0,0
f,debt_consolidation,17.09,535.47,74000.0,34.73,Verified,D,15351,3,0,OWN,11.2118203721863,1,0,1
w,debt_consolidation,6.72,399.75,70000.0,6.99,Source Verified,A,13070,3,4,MORTGAGE,11.156250521031499,1,1,0
w,debt_consolidation,15.05,285.8,123000.0,13.85,Verified,C,4212,18,0,MORTGAGE,11.7199396343546,1,0,1
w,credit_card,15.05,867.25,64000.0,20.96,Not Verified,C,28921,9,0,MORTGAGE,11.0666383623418,0,0,1
